Order Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Quantity,Discount,Profit,Discount_Category,Sales_Original,Sales_Log
2016-11-08,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,2.0,0.0,41.9136,No Discount,261.96,5.572001929355964
2016-11-08,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,3.0,0.0,219.582,No Discount,731.94,6.597063843147503
2016-06-12,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,2.0,0.0,6.8714,No Discount,14.62,2.7485521444115397
2015-10-11,Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,5.0,0.45,-383.031,Medium Discount,957.5775,6.86545041472046
2015-10-11,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,2.0,0.2,2.5164,Low Discount,22.368,3.15136756508544
2014-06-09,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,7.0,0.0,14.1694,No Discount,48.86,3.9092190780954117
2014-06-09,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,4.0,0.2,1.9656,Low Discount,7.28,2.1138429683971687
2014-06-09,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,6.0,0.2,90.7152,Low Discount,907.152,6.8114117654723865
2014-06-09,Standard Class,Consumer,Los Angeles,CALIFORNIA,West,Office Supplies,Binders,3.0,0.2,5.7825,Low Discount,18.504,2.970619572738916
2014-06-09,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,5.0,0.0,34.47,No Discount,114.9,4.752727750345706
2014-06-09,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,9.0,0.2,85.3092,Low Discount,1706.184,7.442600508432343
2014-06-09,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,4.0,0.2,68.3568,Low Discount,911.424,6.816104794316803
2017-04-15,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,3.0,0.2,5.4432,Low Discount,15.552,2.8065069404432417
2016-12-05,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,3.0,0.2,132.5922,Low Discount,407.976,6.0136564746144785
2015-11-22,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,5.0,0.8,-123.858,High Discount,68.81,4.24577726598231
2015-11-22,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,3.0,0.8,-3.816,High Discount,2.544,1.2652560327428346
2014-11-11,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,6.0,0.0,13.3176,No Discount,665.88,6.502610119684893
2014-05-13,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,2.0,0.2,9.99,Low Discount,55.5,4.034240638152395
2014-08-27,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,2.0,0.0,2.4824,No Discount,8.56,2.25758772706331
2014-08-27,Second Class,Consumer,San Francisco,California,West,Technology,Phones,3.0,0.2,16.011,Low Discount,213.48,5.3682164939277035
2014-08-27,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,4.0,0.2,7.384,Low Discount,22.72,3.1663185741295248
2016-12-09,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,7.0,0.0,5.0596,No Discount,19.46,3.0184717605234805
2016-12-09,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,7.0,0.0,15.6884,No Discount,60.34,4.116432158686106
2017-07-16,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,2.0,0.3,-1.0196,Medium Discount,71.372,4.28181948425685
2015-09-25,Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,3.0,0.0,240.2649,No Discount,1044.63,6.952374853558705
2016-01-16,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,2.0,0.2,4.2224,Low Discount,11.648,2.537499099907171
2016-01-16,Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,3.0,0.0,11.7741,No Discount,90.57,4.517103707119641
2015-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,7.0,0.5,-1665.0522,Medium Discount,3083.43,8.034122154276439
2015-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,2.0,0.7,-7.0532,High Discount,9.618,2.3625506741614797
2015-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,3.0,0.2,15.525,Low Discount,124.2,4.829912458665998
2015-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,2.0,0.2,1.1016,Low Discount,3.264,1.4502076868635432
2015-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,6.0,0.2,9.7092,Low Discount,86.304,4.4693962808107885
2015-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.0,0.7,-5.715,High Discount,6.858,2.061532121136268
2015-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,2.0,0.2,3.546,Low Discount,15.76,2.818995095053937
