Ship Mode,Sub-Category,Quantity,Discount_Category,Sales_Log,Order_Year,Order_Month,Order_DayOfWeek,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology
1,12,-0.8339298693882464,0,5.572001929355964,2016,11,1,0,0,0,1,0,0,0
1,13,-0.35826899172370946,0,6.597063843147503,2016,11,1,0,0,0,1,0,0,0
1,1,-0.8339298693882464,0,2.7485521444115397,2016,6,6,1,0,0,0,1,1,0
0,14,0.5930527636053644,2,6.86545041472046,2015,10,6,0,0,0,1,0,0,0
0,10,-0.8339298693882464,1,3.15136756508544,2015,10,6,0,0,0,1,0,1,0
0,7,1.5443745189344384,0,3.9092190780954117,2014,6,0,0,0,0,0,1,0,0
0,2,0.1173918859408275,1,2.1138429683971687,2014,6,0,0,0,0,0,1,1,0
0,11,1.0687136412699014,1,6.8114117654723865,2014,6,0,0,0,0,0,1,0,1
0,3,-0.35826899172370946,1,2.970619572738916,2014,6,0,0,0,0,0,1,1,0
0,8,0.5930527636053644,0,4.752727750345706,2014,6,0,0,0,0,0,1,1,0
0,14,2.4956962742635125,1,7.442600508432343,2014,6,0,0,0,0,0,1,0,0
0,11,0.1173918859408275,1,6.816104794316803,2014,6,0,0,0,0,0,1,0,1
0,4,-0.35826899172370946,1,2.8065069404432417,2017,4,5,0,0,0,1,0,1,0
0,3,-0.35826899172370946,1,6.0136564746144785,2016,12,0,0,0,0,0,1,1,0
0,8,0.5930527636053644,3,4.24577726598231,2015,11,6,0,1,0,0,0,1,0
0,3,-0.35826899172370946,3,1.2652560327428346,2015,11,6,0,1,0,0,0,1,0
0,10,1.0687136412699014,0,6.502610119684893,2014,11,1,0,0,0,0,0,1,0
1,10,-0.8339298693882464,1,4.034240638152395,2014,5,1,0,0,0,0,1,1,0
1,2,-0.8339298693882464,0,2.25758772706331,2014,8,2,0,0,0,0,1,1,0
1,11,-0.35826899172370946,1,5.3682164939277035,2014,8,2,0,0,0,0,1,0,1
1,3,0.1173918859408275,1,3.1663185741295248,2014,8,2,0,0,0,0,1,1,0
0,2,1.5443745189344384,0,3.0184717605234805,2016,12,4,1,0,0,0,0,1,0
0,8,1.5443745189344384,0,4.116432158686106,2016,12,4,1,0,0,0,0,1,0
1,13,-0.8339298693882464,2,4.28181948425685,2017,7,6,0,0,1,0,0,0,0
0,14,-0.35826899172370946,0,6.952374853558705,2015,9,4,0,0,0,0,1,0,0
1,3,-0.8339298693882464,1,2.537499099907171,2016,1,5,0,0,0,0,1,1,0
1,9,-0.35826899172370946,0,4.517103707119641,2016,1,5,0,0,0,0,1,0,1
0,12,1.5443745189344384,2,8.034122154276439,2015,9,3,0,0,1,0,0,0,0
0,3,-0.8339298693882464,3,2.3625506741614797,2015,9,3,0,0,1,0,0,1,0
0,7,-0.35826899172370946,1,4.829912458665998,2015,9,3,0,0,1,0,0,0,0
0,5,-0.8339298693882464,1,1.4502076868635432,2015,9,3,0,0,1,0,0,1,0
0,2,1.0687136412699014,1,4.4693962808107885,2015,9,3,0,0,1,0,0,1,0
0,3,1.0687136412699014,3,2.061532121136268,2015,9,3,0,0,1,0,0,1,0
0,2,-0.8339298693882464,1,2.818995095053937,2015,9,3,0,0,1,0,0,1,0
1,4,-0.35826899172370946,1,3.416808229176303,2017,10,3,0,1,0,0,0,1,0
2,11,1.5443745189344384,1,7.001740945642436,2016,12,3,1,0,0,0,0,0,1
2,7,0.5930527636053644,3,5.257078618531439,2016,12,3,1,0,0,0,0,0,0
0,5,2.4956962742635125,1,4.739071510179493,2015,12,6,0,1,0,0,0,1,0
